"Path","ID"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\AMALGAMA_DI_CORPI_5b3a0eaa108c4e31.json","5b3a0eaa108c4e31"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Arachas_121e9ba4fc214734.json","121e9ba4fc214734"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Archeospora_b3f7102e8a56c9d4.json","b3f7102e8a56c9d4"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Armatura_Marionetta_ej64ssi8itsp2yyn.json","ej64ssi8itsp2yyn"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\ARMATURA_VIVENTE_7989cf0e75c84ac4.json","7989cf0e75c84ac4"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Arpia_1e728fda490563cb.json","1e728fda490563cb"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Barbegazi_e8ad2614f03759cb.json","e8ad2614f03759cb"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Barghest_1873eda52b0c64f9.json","1873eda52b0c64f9"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Battiroccia_52f91a6ec3074bd8.json","52f91a6ec3074bd8"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Bestia_del_Lago_Tankred_djkuff55flas1ya3.json","djkuff55flas1ya3"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\BES_7e2ac369b1344d85.json","7e2ac369b1344d85"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Botchling_e718b2094dc653fa.json","e718b2094dc653fa"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Bruxa_39f04128bca6d5e7.json","39f04128bca6d5e7"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Bullvore_a26b1940ed7c3f85.json","a26b1940ed7c3f85"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\CASGLYDD_74369e6bcb144839.json","74369e6bcb144839"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Ciclope_a2894b75360efc1d.json","a2894b75360efc1d"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Cinghiale_9163caeb805d4f72.json","9163caeb805d4f72"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Cockatrice_345c27df89b0a6e1.json","345c27df89b0a6e1"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Demone_Putrefatto_0e418579b3fa26dc.json","0e418579b3fa26dc"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Demoni_95fff1bac8bd4592.json","95fff1bac8bd4592"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Drowner_9597d81f6d124efa.json","9597d81f6d124efa"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\BESTIARIO\MOSTRI\Elementale_di_Fuoco_0b1a8754f3c2e96d.json","0b1a8754f3c2e96d"
