duplicate_type,identifier_1,identifier_2,name_1,name_2,similarity,notes
duplicate_asset,73c3990b5b604c52,73c3990b5b604c52,Endriaghe (Guerriero),Endriaghe (Lavoratore),exact,Shared asset: BESTIARIO/witcher-monsters/endriaghe.webp
duplicate_asset,2595fc12d1dd4c0c,97a3d63632854a98,Trofeo: Elementale (Ghiaccio),Trofeo: Elementale (Terra),exact,Shared asset: REGOLAMENTO_E_NARRATIVA/Trofei/witcher-trophies/trofeo_elementale.webp
duplicate_asset,2595fc12d1dd4c0c,98cae0cec2de53fd,Trofeo: Elementale (Ghiaccio),Trofeo: Elementale (Fuoco),exact,Shared asset: REGOLAMENTO_E_NARRATIVA/Trofei/witcher-trophies/trofeo_elementale.webp
duplicate_asset,97a3d63632854a98,98cae0cec2de53fd,Trofeo: Elementale (Terra),Trofeo: Elementale (Fuoco),exact,Shared asset: REGOLAMENTO_E_NARRATIVA/Trofei/witcher-trophies/trofeo_elementale.webp
duplicate_asset,74187e96cb4f4aee,7c0ca396379a4320,Trofeo: [Immagini,Trofeo: [Immagini,exact,Shared asset: REGOLAMENTO_E_NARRATIVA/Trofei/witcher-trophies/trofeo_immagini.webp
duplicate_asset,8e677a18869d4d9d,d15fe0a1b3d24ffc,Trofeo: Troll,Trofeo: Troll,exact,Shared asset: REGOLAMENTO_E_NARRATIVA/Trofei/witcher-trophies/trofeo_troll.webp
duplicate_entry,2810f6f48d3244c0,faa7388b82dc0dd0,Fiammata,Fiammata,exact,"Exact duplicate name and type. Path 1: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali, Path 2: MAGIA_E_MALEDIZIONI/Segni"
duplicate_entry,74187e96cb4f4aee,7c0ca396379a4320,Trofeo: [Immagini,Trofeo: [Immagini,exact,"Exact duplicate name and type. Path 1: REGOLAMENTO_E_NARRATIVA/Trofei, Path 2: REGOLAMENTO_E_NARRATIVA/Trofei"
duplicate_entry,8e677a18869d4d9d,d15fe0a1b3d24ffc,Trofeo: Troll,Trofeo: Troll,exact,"Exact duplicate name and type. Path 1: REGOLAMENTO_E_NARRATIVA/Trofei, Path 2: REGOLAMENTO_E_NARRATIVA/Trofei"
near_duplicate_entry,5c551170e0f9898d,28de3488d21c948c,Mutageno d'Orso (Verde),Mutageno: Orso (Verde),near_duplicate,Near duplicate name (Levenshtein distance: 1) in category ALCHIMIA_E_ARTIGIANATO
