"Status","Name","File","Path"
"?? PLACEHOLDER","20m di Corda","20m_di_Corda_6744066439faf25e.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\20m_di_Corda_6744066439faf25e.json"
"?? PLACEHOLDER","Abiti Comuni","Abiti_Comuni_e596e64cca424489.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\Abiti_Comuni_e596e64cca424489.json"
"?? PLACEHOLDER","Abiti da Furfante","Abiti_da_Furfante_bed44d8b7d4bb824.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\Abiti_da_Furfante_bed44d8b7d4bb824.json"
"?? PLACEHOLDER","Abiti Eleganti","Abiti_Eleganti_dc594a01542be272.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\Abiti_Eleganti_dc594a01542be272.json"
"?? PLACEHOLDER","Abiti per Climi Freddi","Abiti_per_Climi_Freddi_ba5f65a836de4eb6.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\Abiti_per_Climi_Freddi_ba5f65a836de4eb6.json"
"?? PLACEHOLDER","Accetta","Accetta_022f99d584a84f5e.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-weapons\Accetta_022f99d584a84f5e.json"
"?? PLACEHOLDER","Acciarino","Acciarino_2e7a4cde5b714ec2.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\Acciarino_2e7a4cde5b714ec2.json"
"?? PLACEHOLDER","Alabarda Rossa","Alabarda_Rossa_857219f18f1f4691.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-weapons\Alabarda_Rossa_857219f18f1f4691.json"
"?? PLACEHOLDER","Alcohest","Alcohest_d682a5755bc14602.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\Alcohest_d682a5755bc14602.json"
"?? PLACEHOLDER","Amuleto con Gemma","Amuleto_con_Gemma_e409cd54ccdd5e1b.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\Amuleto_con_Gemma_e409cd54ccdd5e1b.json"
"?? PLACEHOLDER","Amuleto Incantato","amuleto_incantato_836899b1ea2fa228.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\caos\witcher-magic-items\amuleto_incantato_836899b1ea2fa228.json"
"?? PLACEHOLDER","Amuleto Incantato (1 Incantesimo)","Amuleto_Incantato__1_Incantesimo__ef6c48cd2dba2373.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\caos\witcher-special-chaos\Amuleto_Incantato__1_Incantesimo__ef6c48cd2dba2373.json"
"?? PLACEHOLDER","Amuleto Incantato (2 Incantesimi)","Amuleto_Incantato__2_Incantesimi__4d40471f65001a0b.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\caos\witcher-special-chaos\Amuleto_Incantato__2_Incantesimi__4d40471f65001a0b.json"
"?? PLACEHOLDER","Amuleto Incantato (3 Incantesimi)","Amuleto_Incantato__3_Incantesimi__4ddf42cb2eab0e0c.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\caos\witcher-special-chaos\Amuleto_Incantato__3_Incantesimi__4ddf42cb2eab0e0c.json"
"?? PLACEHOLDER","Amuleto Incantato (4 Incantesimi)","Amuleto_Incantato__4_Incantesimi__5bfe48717eebb217.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\caos\witcher-special-chaos\Amuleto_Incantato__4_Incantesimi__5bfe48717eebb217.json"
"?? PLACEHOLDER","Amuleto Semplice","Amuleto_Semplice_7154dad58f595fe8.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-equipment\Amuleto_Semplice_7154dad58f595fe8.json"
"?? PLACEHOLDER","Anti-Ancestrali","Anti-Ancestrali_01897166528f04c2.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-special\Anti-Ancestrali_01897166528f04c2.json"
"?? PLACEHOLDER","Anti-Bestie","Anti-Bestie_be0449da77ab5136.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-special\Anti-Bestie_be0449da77ab5136.json"
"?? PLACEHOLDER","Anti-Costrutti","Anti-Costrutti_dd75a029513af7f7.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-special\Anti-Costrutti_dd75a029513af7f7.json"
"?? PLACEHOLDER","Anti-Dragonidi","Anti-Dragonidi_6d4f3bc2cbeec9ef.json","E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\EQUIPAGGIAMENTO\base\witcher-special\Anti-Dragonidi_6d4f3bc2cbeec9ef.json"
